"business_product_id";"name";"name_or_number";"discriminator";"product_type";"street";"house_number";"box_number";"postal_code";"city_name";"main_city_name";"promotional_region";"statistical_region";"x";"y";"lat";"long";"phone1";"phone2";"phone3";"email";"website";"status";"last_status_change_date";"notification_date";"acknowledgement_date";"comfort_class";"number_of_units";"maximum_capacity";"tva_type";"tva_acknowledgement";"tva_capacity";"tva_capacity_description";"tva_acknowledgement_date";"tva_principal_acknowledgement_date";"tva_revoke_date";"tva_suspension_date";"tva_suspension_removal_date";"deleted";"green_key_labeled";"accessibility_label";"changed_time"
"211334";"13 O'Clock Hostel Ghent";"13 O'Clock Hostel Ghent";"HOSTEL";"BASE";"UNIVERSITEITSTRAAT";"13";"";"9000";"Gent";"Gent";"kunststadGent";"kunststadGent";"104833.9604039143";"193553.5647111442";"51.050918";"3.723378";"";"+32471331313";"";"info@13oclock.be";"http://www.13oClock.be";"NOTIFIED";"";"Mar 31 2017 10:00:00:000PM";"";"";"115";"115";"YOUTH";"HOSTEL";"115";"";"Oct 22 2013 02:00:00:000AM";"";"";"";"";"0";"0";"";"Sep 27 2018 07:49:04:490AM"
"220699";"Aan de Achelse Kluis";"Aan de Achelse Kluis";"YOUTH_ACCOMMODATION";"BASE";"Kluizerdijk";"102";"";"3930";"Achel";"Hamont-Achel";"limburgseKempen";"limburgseKempen";"227550.68";"220746.58";"51.2913413964415";"5.48048423779438";"+3211720974";"+32494132250";"";"erikrombouts@hotmail.com";"http://www.erikrombouts.be/index%20aandeachelsekluis.html";"NEVER_NOTIFIED_NOR_APPLIED_FOR_LICENSE";"Sep 13 2017 12:00:00:000AM";"";"";"";"";"";"YOUTH";"A";"15";"";"Dec 15 2008 01:00:00:000AM";"Jan  9 2008 01:00:00:000AM";"";"";"";"0";"0";"INFORMATION_AVAILABLE";"Jul 10 2018 07:07:03:327AM"
"219157";"Aan de Esberg - de schuur";"Aan de Esberg - de schuur";"YOUTH_ACCOMMODATION";"BASE";"HOEKEINDE";"72";"";"2330";"Merksplas";"Merksplas";"antwerpseKempen";"antwerpseKempen";"184216.3971409395";"231103.1497174753";"51.389161";"4.858993";"";"+32486902114";"";"esberg@telenet.be";"www.esberg.be";"NEVER_NOTIFIED_NOR_APPLIED_FOR_LICENSE";"Sep 13 2017 12:00:00:000AM";"";"";"";"";"";"YOUTH";"A";"30";"";"Mar  5 2014 01:00:00:000AM";"";"";"";"";"0";"0";"";"Dec  6 2018 08:15:03:490AM"
"261517";"Abdij Onze-Lieve-Vrouw van Nazareth";"Abdij Onze-Lieve-Vrouw van Nazareth";"GENERIC_ROOMS";"BASE";"Abdijlaan";"9";"";"2960";"Brecht";"Brecht";"antwerpseKempen";"antwerpseKempen";"168393.07";"223004.7";"51.31654332433618";"4.632573331113489";"+32 3 313 92 50";"";"";"abdij.nazareth@telenet.be";"";"NOTIFIED";"Jul  1 2015 12:00:00:000AM";"Mar 31 2017 10:00:00:000PM";"";"";"";"23";"ADULT";"TVA";"24";"";"Jul  1 2015 02:00:00:000AM";"";"";"";"";"0";"0";"";"Oct 22 2018 07:37:02:267AM"
"265079";"Abdij Roosenberg";"Abdij Roosenberg";"GENERIC_ROOMS";"BASE";"Oudeheerweg Heide";"3";"";"9250";"Waasmunster";"Waasmunster";"waasland";"waasland";"129950.808512014";"201284.091461636";"51.12126784354147";"4.082424547110301";"+32 3 772 33 92";"";"";"elke@abdij-roosenberg.be";"www.abdij-roosenberg.be";"NEVER_NOTIFIED_NOR_APPLIED_FOR_LICENSE";"Sep 11 2015 12:00:00:000AM";"";"";"";"";"";"ADULT";"ACKNOWLEDGED_BY_PRINCIPLE";"";"";"";"Sep 11 2015 02:00:00:000AM";"";"";"";"0";"0";"";"Apr  2 2018 09:54:17:610AM"
"263936";"ADB Huis";"ADB Huis";"GENERIC_TERRAIN";"BASE";"Vrijheidsstraat";"5";"";"2280";"Grobbendonk";"Grobbendonk";"antwerpseKempen";"antwerpseKempen";"";"";"";"";"+32 14 51 10 01";"";"";"adbhuis@telenet.be";"https://www.adbhuis.com";"STOPPED";"Jan 24 2012 12:00:00:000AM";"";"";"";"27";"108";"ADULT";"REVOKED";"";"";"Mar 15 2007 01:00:00:000AM";"";"";"";"";"1";"0";"INFORMATION_AVAILABLE";"Oct 18 2018 10:10:03:680AM"
"219625";"Afrit 9";"Afrit 9";"YOUTH_ACCOMMODATION";"BASE";"GENTWEG";"5";"";"8810";"Lichtervelde";"Lichtervelde";"brugseOmmeland";"brugseOmmeland";"65814.32407124861";"188778.9257834842";"51.003649";"3.168097";"+3251725449";"+32476305416";"";"";"https://www.radar9.be";"NEVER_NOTIFIED_NOR_APPLIED_FOR_LICENSE";"Sep 13 2017 12:00:00:000AM";"";"";"";"";"";"YOUTH";"B";"55";"";"Apr  6 2010 02:00:00:000AM";"Apr 27 2009 02:00:00:000AM";"";"";"";"0";"0";"BASIC";"Nov 20 2018 01:24:49:730PM"
"226900";"Akabe Scouts Lokalen";"Akabe Scouts Lokalen";"YOUTH_ACCOMMODATION";"BASE";"VOSSENBERGSTRAAT";"52";"";"3500";"Hasselt";"Hasselt";"haspengouw";"hasselt";"222405.4288612194";"182047.3470223583";"50.944736";"5.397736";"+32 11 23 49 82";"+32";"";"kamphuisakabe@gmail.com";"https://www.kamphuisaka.be";"NEVER_NOTIFIED_NOR_APPLIED_FOR_LICENSE";"Sep 13 2017 12:00:00:000AM";"";"";"";"";"";"YOUTH";"B";"50";"";"Dec 13 2006 01:00:00:000AM";"";"";"";"";"0";"0";"BASIC";"Nov 20 2018 01:26:33:330PM"
"275892";"Alden Biesen";"Alden Biesen";"GENERIC_ROOMS";"BASE";"Kasteelstraat";"6";"";"3740";"Bilzen";"Bilzen";"haspengouw";"haspengouw";"231202.61";"170793.7";"50.84185819410822";"5.521668837600348";"+32 89 51 93 40";"+32 479 29 97 23";"";"lies.kerkhofs@cjsm.vlaanderen.be";"https://www.alden-biesen.be";"NOTIFIED";"Jan 13 2016 12:00:00:000AM";"Mar 31 2017 10:00:00:000PM";"";"";"";"58";"ADULT";"TVA";"58";"";"Jan 13 2016 01:00:00:000AM";"";"";"";"";"0";"0";"";"Nov  9 2018 10:40:02:710AM"
"287274";"Alias Youth Hostel";"Alias Youth Hostel";"HOSTEL";"BASE";"Provinciestraat";"256";"";"2018";"Antwerpen";"Antwerpen";"kunststadAntwerpen";"kunststadAntwerpen";"153940.26";"211067.63";"51.2095551900156";"4.42514149513303";"";"+32";"";"liesmoerman@gmail.com";"";"NOTIFIED";"";"Mar 31 2017 10:00:00:000PM";"";"";"116";"116";"YOUTH";"HOSTEL";"116";"";"Nov  6 2013 01:00:00:000AM";"";"";"";"";"0";"0";"";"Nov 21 2018 10:46:05:583AM"
"210087";"Antwerp Backpackers Hostel";"Antwerp Backpackers Hostel";"HOSTEL";"BASE";"Kattenberg";"110";"";"2140";"Borgerhout";"Antwerpen";"kunststadAntwerpen";"kunststadAntwerpen";"154799.864754574";"211712.909717256";"51.21532894091629";"4.437465096504664";"+32 36 08 74 37";"+32 473 57 01 66";"";"abhostel@hotmail.com";"https://www.abhostel.com/contact.php";"NOTIFIED";"";"Mar 31 2017 10:00:00:000PM";"";"";"33";"33";"YOUTH";"HOSTEL";"33";"";"Mar  7 2011 01:00:00:000AM";"";"";"";"";"0";"0";"";"Oct 11 2018 07:36:01:350AM"
